Rule ID,Rule Title,Legal Requirement,Description (Simple English),Product Category,Mandatory/Conditional,Evidence Required,Applicable Regulation,Clause,Version/Amendment,Effective Date,Remarks
ID-ALC-001,Alcoholic Beverage Definition,Alcoholic beverage means a beverage... containing more than 0.5 per cent. abv... ethanol shall be of agricultural origin.,Alcoholic drinks (>0.5% ABV) must derive ethanol from agricultural sources.,Alcoholic Beverages,Mandatory,Distillation Records,Food Safety and Standards (Alcoholic Beverages) Regs,1.2.3,V-V (2025),"Apr 1, 2019",Limit is zero for Alcohol-free beer.
ID-ALC-002,Ready-to-Drink Beverage Identity,Flavored beverages having more than 0.5 and up to 15.0% of alcohol by volume... with or without carbonation.,RTD alcoholic beverages must contain 0.5% to 15% ABV and meet specific parameters.,Alcoholic RTD Beverages,Mandatory,Product Specs,Food Safety and Standards (Alcoholic Beverages) Regs,1.2.4a,V-V (2025),"Jan 1, 2026",Table-4 standard applies.
ID-INF-001,Infant Formula Scope,Breast milk substitute product based on milk... to meet the nutritional requirements of infant during the first six months.,Infant formula is strictly defined as a milk substitute for the first 6 months.,Infant Nutrition,Mandatory,Formula Approval,Food Safety and Standards (Foods for Infant Nutrition) Regs,2(1)(h),V-II (2024),"Jul 1, 2021",Packaging must be BPA-Free.
ID-AYU-001,Ayurveda Aahara Infant Prohibition,No person shall manufacture or sell Ayurveda Aahara intended for administration to infants up to the age of twenty-four months.,Ayurveda Aahara cannot be sold or manufactured for infants under 2 years old.,Ayurveda Aahara,Mandatory,Target Age Spec,Food Safety and Standards (Ayurveda Aahara) Regulations,3(2),2022,"May 6, 2022",Based on Schedule A books.
STD-PRO-001,Probiotic Minimum CFU,The viable number of added probiotic organisms in food shall be >= 10^8 CFU in the recommended serving size per day.,Probiotics must deliver at least 100 million CFU per daily serving.,Probiotic Foods,Mandatory,Culture Assay,Food Safety and Standards (Health Supplements...) Regs,10(1)(ii),V-I (2021),"Apr 1, 2022",Organisms must be Non-GMO.
STD-ALC-001,Distilled Spirits Standards,"Distilled spirits shall conform to Table 1: Residue on evaporation max 2.0%, Lead max 0.2 mg/l, Copper max 5.0 mg/l...",Distilled liquors must meet strict chemical purity and heavy metal ceilings.,Distilled Spirits,Mandatory,Lab Analysis,Food Safety and Standards (Alcoholic Beverages) Regs,Table 1,V-V (2025),"Apr 1, 2019",Tolerance limits enforced.
STD-AYU-001,Vitamins Ban in Ayurveda Aahara,"No person shall add vitamins, minerals and amino acids to Ayurveda Aahara","Synthetic vitamins, minerals, and amino acids are banned from being added to Ayurveda Aahara.",Ayurveda Aahara,Mandatory,Formulation,Food Safety and Standards (Ayurveda Aahara) Regulations,3(4),2022,"May 6, 2022",Natural minerals allowed.
MFG-REC-001,Mandatory Recall Traceability,The food business operator shall maintain the food distribution records... for a period of one year from best before date...,FBOs must keep distribution records for at least 1 year past expiry for recall purposes.,All Food Businesses,Mandatory,ERP Logs,Food Safety and Standards (Food Recall Procedure) Regs,6(1),2017,"Jan 20, 2017",2 years for alcohol.
MFG-SCH-001,School Meal Provider Compliance,"FBOs selling or catering food on school campus shall ensure compliance to Schedule 4, Food Safety Display Board and Food Safety Supervisor...","School caterers/canteens must have FSSAI licenses, display boards, and trained supervisors.",School Food,Mandatory,FSS Certificate,Food Safety and Standards (Safe food for children...) Regs,3(4),2020,"Jul 1, 2021",Verified by schools.
QTY-SMP-001,Prescribed Lab Sample Quantity,"The quantity of sample of food to be sent to the Food Analyst... shall be as specified (e.g., Milk: 500ml, Water: 3L).",Exact physical quantities must be drawn for statutory lab testing.,All Categories,Mandatory,Sampling Memo,Food Safety and Standards (Lab & Sample Analysis) Regs,2.3.1,V-III (2021),"Aug 5, 2011",Preservative required.
LAB-VEG-001,Veg / Non-Veg Logo,Every package of Non-Vegetarian Food... shall bear a brown triangle... Vegetarian Food... green circle... size based on Principal Display Panel.,Retail packs must display the green/brown dot logo in exact dimensions.,Pre-packaged Foods,Mandatory,Artwork,Food Safety and Standards (Labelling and Display) Regs,5(4),V-VIII (2025),"Jul 1, 2022",Water/Milk exempt.
LAB-VEG-002,Vegan Food Logo Dimensions,"Every package of vegan foods, after the approval, shall carry the logo as specified... (VEGAN with V-leaf).",Approved Vegan foods must prominently display the green Vegan V-leaf logo.,Vegan Foods,Mandatory,Artwork,Food Safety and Standards (Vegan Foods) Amendment Regs,4(2),2026 Amend,"Jul 1, 2027",Exact mm specs required.
LAB-NUT-001,Mandatory Nutritional Panel,"Nutritional Information per 100g or 100ml... energy, Protein, Carbohydrate, Total Sugars, added sugars, Total fat, saturated fat, trans fat...",Packages must declare a full nutrient breakdown per 100g/ml and per serving.,Pre-packaged Foods,Mandatory,Lab Report,Food Safety and Standards (Labelling and Display) Regs,5(3)(b),V-VIII (2025),"Jul 1, 2022",-10% tolerance allowed.
